Unnamed: 0,song,cnt
115,Santa Tell Me,2
102,둘만의 세상으로 가,2
44,한잔이면 지워질까,2
150,Oh my god,2
53,Blue & Grey,2
86,화(火花),2
163,있어줘요,2
79,그날에 나는 맘이 편했을까,2
68,나의 오랜 연인에게,2
165,품,2
9,빌었어,2
84,자나깨나 (Feat. 조이 of Red Velvet),2
10,아틀란티스 소녀 (Atlantis Princess),2
160,AYA,2
14,Celebrity,2
157,숲의 아이 (Bon voyage),2
156,니 소식,2
55,Ridin’,1
67,도망가,1
244,사계 (Four Seasons),1
57,Your Lights,1
54,사랑하고 싶지 않아 (바른연애 길잡이 X XIA (준수)),1
250,Know Me Too Well,1
251,아주 NICE,1
241,밤이 깊었네 (Drama Ver.),1
252,차가워진 이 바람엔 우리가 써있어 (Bad Love),1
61,Zombie,1
33,깡,1
49,내 손을 잡아,1
43,OHIO,1
5,고백 (바른연애 길잡이 X 허각),1
6,"인기 (Feat. 송가인, 챈슬러)",1
7,두리쥬와 (Feat. S.B.N),1
11,나가,1
13,Flower,1
18,What You Waiting For,1
269,봄 사랑 벚꽃 말고,1
267,헤어진 우리가 지켜야 할 것들,1
266,워커홀릭,1
265,술 한잔 해요,1
24,너의 하루는 좀 어때,1
38,LALALILALA,1
259,꿈속에 너 (Feat. 전상근),1
40,"Yours (Feat. 이하이, 창모)",1
41,My My,1
69,Dancing Cartoon,1
174,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",1
76,안녕과 안녕으로,1
123,새 사랑,1
206,Bet You Wanna (Feat. Cardi B),1
127,마음이 그래,1
129,Error (Feat. Loopy),1
203,For You (Feat. Crush),1
199,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",1
148,Love Again,1
196,BAND,1
154,Say,1
194,나쁜 놈,1
158,"안녕, 오늘의 그대에게",1
161,Bungee,1
188,Remember,1
186,다시 만날까 봐 (Prod.V.O.S),1
185,I'm Not Cool,1
183,미친 사랑의 노래,1
182,넌 내가 보고 싶지 않나 봐,1
167,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",1
208,별이 온다,1
210,막걸리 한잔,1
77,내 마음의 사진,1
211,벚꽃 엔딩,1
78,뜸,1
83,"다시는 사랑하지 않고, 이별에 아파하기 싫어",1
233,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),1
232,노을,1
170,서른 밤째 (바른연애 길잡이 X 윤하 (YOUNHA)),1
92,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)",1
94,크리스마스니까,1
226,부어라 비워라 (Tricker) (Prod. GroovyRoom),1
99,이 번호로 전화해줘,1
100,잘 지내고 있는지 궁금해,1
222,그대라는 시,1
220,이별주,1
109,그대 없이 그대와,1
112,잠시,1
114,시청 앞 지하철 역에서,1
215,너의 밤은 어때 (취향저격 그녀 X 정은지),1
118,내가 많이 사랑해요,1
89,추억은 만남보다 이별에 남아,1
